groupId,word1,word2,word3,word4,word5
231,天桥阶梯,疲惫,停下,继续,低头
232,便利贴墙,颜色,分类,混乱,重排
233,指纹锁,识别失败,再试,通过,松气
234,自动售卖机,卡住,敲一下,掉落,幸运
235,雨滴,车顶,节奏,加快,暴雨
236,收银台,找零,算错,重算,沉默
237,天花板,裂纹,注意到,忽略,习惯
238,闹钟,提前响,困惑,确认,回睡
239,街角猫,对视,停顿,靠近,逃开
240,晚风,头发,遮眼,拨开,继续
241,卡夫卡,城堡,等待,官僚,荒诞
242,村上春树,井,猫,平行世界,失踪
243,王家卫,慢镜头,错过,走廊,时间
244,花样年华,旗袍,楼梯,克制,擦肩
245,盗梦空间,陀螺,层级,现实,坠落
246,罗生门,版本,证词,真相,怀疑
247,霸王别姬,戏梦,身份,错位,时代
248,百年孤独,循环,家族,预言,重复
249,1984,监视,语言,修改,顺从
250,爱乐之城,爵士,选择,错过,如果
251,银翼杀手,记忆,人造,雨夜,存在
252,她,系统,陪伴,孤独,升级
253,黑镜,技术,反转,失控,镜像
254,寄生虫,阶层,楼梯,气味,渗透
255,楚门的世界,镜头,布景,怀疑,逃离
256,坂本龙一,极简,钢琴,留白,呼吸
257,陈奕迅,情绪,叙述,失去,反复
258,邓紫棋,高音,爆发,成长,舞台
259,星际穿越,黑洞,时间差,亲情,回信
260,教父,家族,权力,代价,沉默
261,小王子,玫瑰,驯养,责任,告别
262,尼采,重估,意志,孤独,超越
263,爱因斯坦,相对,想象,时间,误差
264,海上钢琴师,边界,选择,天赋,不下船
265,阿甘正传,跑步,偶然,坚持,命运
266,黑客帝国,红药丸,系统,觉醒,怀疑
267,宫崎骏,飞行,自然,成长,告别
268,罗马假日,一天,秘密,身份,回归
269,少年派的奇幻漂流,老虎,叙事,版本,相信
270,泰坦尼克号,阶层,甲板,音乐,沉没
271,搏击俱乐部,分裂,规则,地下,反抗
272,盗梦空间,梦中梦,结构,迷失,回到起点
273,局外人,冷漠,太阳,审判,荒诞
274,陀思妥耶夫斯基,罪,辩解,拷问,深夜
275,花样年华,走廊,擦肩,时间差,克制
276,重庆森林,凤梨罐头,期限,错过,独白
277,爱在黎明破晓前,对话,城市,一天,分别
278,千与千寻,名字,契约,成长,回家
279,寄生虫,地下室,雨夜,转折,命运
280,楚门的世界,天空,出口,假象,自由
281,镜头语言,构图,暗示,观众,理解
282,剪辑点,提前,延迟,节奏,误导
283,角色弧光,起伏,转变,成立,说服
284,设定漏洞,忽略,补丁,圆回来,牵强
285,隐喻过度,堆叠,疲劳,失效,直白
286,主题先行,人物牺牲,单薄,表达,矛盾
287,风格化,统一,重复,安全,局限
288,观影体验,沉浸,出戏,拉回,结束
289,节奏失衡,拖沓,跳切,重组,成立
290,人物动机,模糊,补充,解释,接受
291,开放式结局,讨论,争议,延续,回味
292,作者意图,猜测,误解,澄清,无效
293,叙事视角,第一人称,不可靠,偏差
294,世界观,完整,细节,漏洞,扩展
295,观众预期,建立,打破,满足,反转
296,情绪铺垫,不足,突然,割裂,补救
297,形式大于内容,炫技,空洞,质疑
298,重复母题,强化,提示,安全,乏味
299,情节反转,合理,强行,惊讶,回看
300,人物关系,张力,疏离,重合,爆发
301,旁观视角,冷静,共情,距离,安全
302,创作者焦虑,比较,排名,自证,继续
303,表达欲,过量,删减,克制,成立
304,标题党,吸引,落差,评价,退订
305,IP改编,取舍,还原,争议,新生
306,口碑发酵,延迟,翻红,再看,重估
307,类型混合,冲突,融合,风险,突破
308,角色滤镜,偏爱,洗白,共情,忽略
309,长镜头,沉浸,耐心,真实,压力
310,独白,解释,多余,节奏,打断
311,空镜头,停顿,氛围,拉长,暗示
312,象征物,重复,强化,提示,成立
313,主题音乐,出现,条件反射,记忆
314,观众解读,过度,离谱,二创,再传播
315,二刷,发现,伏笔,合理,佩服
316,删减版,缺失,节奏,误会,补看
317,爆款,跟风,审美疲劳,更新,轮回
318,冷门佳作,口口相传,小众,共鸣
319,评分机制,数字,焦虑,参考,偏见
320,创作周期,等待,打磨,妥协,上线
321,假设前提,成立,漏洞,推翻,重建
322,边界条件,满足,例外,修正,接受
323,最优解,局部,全局,取舍,平衡
324,路径依赖,惯性,难改,突破,代价
325,博弈,信息差,猜测,暴露,调整
326,风险偏好,保守,激进,后果,承担
327,沉没成本,投入,不舍,止损,理性
328,机会成本,选择,放弃,比较,权衡
329,反馈回路,增强,失控,抑制,稳定
330,系统噪音,干扰,判断,修正,误差
331,信息过载,筛选,忽略,重点,遗漏
332,概率思维,样本,偏差,更新,后验
333,长期主义,耐心,波动,信念,回报
334,短期刺激,满足,透支,后悔,继续
335,策略调整,试错,优化,收敛,稳定
336,临界点,接近,突破,崩溃,重构
337,黑天鹅,低估,发生,解释,合理化
338,幸存者偏差,忽略,样本,误导,纠正
339,叙事陷阱,好听,合理,失真,警惕
340,自我实现预言,期待,行动,强化,结果
341,信号与噪音,区分,混淆,误判,修正
342,控制变量,隔离,影响,判断,成立
343,复利效应,微小,积累,长期,差距
344,均值回归,极端,回落,错觉,波动
345,路径分叉,不可逆,回头,成本,接受
346,系统性风险,蔓延,关联,防御,缓冲
347,逆向思考,常识,质疑,验证,成立
348,复杂系统,多因,联动,意外,重算
349,决策疲劳,次数,下降,简化,默认
350,认知负荷,过重,逃避,延迟,拖延
351,框架效应,表述,偏好,误导,选择
352,确认偏误,筛选,忽略,强化,立场
353,锚定效应,初始值,比较,偏移,校正
354,损失厌恶,放大,回避,保守,机会
355,激励机制,设计,利用,扭曲,修补
356,共识幻觉,多数,沉默,误判,澄清
357,路径优化,迭代,收敛,局部最优,陷阱
358,试验组,对照组,结果,显著,偶然
359,动态平衡,波动,修正,暂稳,再偏
360,长期曲线,缓慢,加速,拐点,突破
361,身份认同,标签,确认,动摇,重建
362,角色错位,期待,现实,落差,适应
363,归属感,寻找,试探,融入,保留
364,边缘人,观察,参与,犹豫,退回
365,表达冲动,压抑,爆发,后悔,修补
366,沉默成本,不说,误解,扩大,解释
367,自证循环,怀疑,努力,强化,继续
368,倦怠,重复,失去意义,重启,尝试
369,短暂勇气,行动,后果,承担,成长
370,长期焦虑,背景噪音,习惯,忽略
371,存在证明,被看见,回应,确认,安心
372,被误解,解释,徒劳,放弃,接受
373,关系边界,靠近,越界,退后,平衡
374,主动权,掌握,放弃,被动,合理化
375,选择困难,比较,拖延,随机,决定
376,承诺,重量,期限,兑现,代价
377,退出机制,保留,后路,犹豫,尝试
378,重来一次,不同选择,可能性,平行
379,记忆重写,合理化,安慰,版本,相信
380,失败叙事,总结,意义,再定义,继续
381,成功幻觉,放大,忽略变量,误导
382,清零,整理,归档,告别,开始
383,断舍离,选择,舍弃,轻装,前行
384,暂停键,呼吸,观察,调整,继续
385,余震,延迟反应,消化,平复,理解
386,空窗期,等待,不安,恢复,准备
387,界面刷新,加载,错误,重试,成功
388,新身份,试用期,适应,磨合,稳定
389,最后一页,合上,回味,不同理解
390,尾声,余音,散场,灯亮,离开
391,再见,停顿,没说出口,转身
392,下一章,标题,未知,翻页,继续
393,起跑线,不公平,接受,出发
394,回环结构,首尾呼应,完整,闭合
395,开放循环,未完待续,讨论,延续
396,系统重启,缓存清空,数据保留,继续
397,身份交换,误判,理解,和解
398,隐藏条件,触发,反转,恍然
399,最后一局,身份公开,沉默,笑
400,游戏继续,洗牌,重新分配,开始
421,因果,相关,巧合,叠加,误判
422,结果,后果,代价,影响,连锁
423,概率,可能性,风险,预期,下注
424,规则,漏洞,例外,灰区,默认
425,动机,目的,理由,借口,托词
426,证据,线索,迹象,暗示,想象
427,承诺,期待,约定,默认,落空
428,公平,平均,平等,合理,感觉
429,偏见,经验,直觉,刻板,路径依赖
430,事实,版本,立场,解释权,选择
431,计划,方案,策略,临时决定,即兴
432,条件,前提,假设,成立,例外
433,主动,被动,默认,顺势,退让
434,控制变量,干扰项,样本偏差,噪音,失真
435,稳定,平衡,僵化,停滞,循环
436,风险敞口,暴露,概率,对冲,回避
437,长期,短期,当下,延迟,积累
438,成本,代价,损耗,沉没成本,账本
439,验证,确认,自证,重复,强化
440,模型,现实,误差,校准,失效
461,确认偏误,筛选信息,强化立场,忽略反例,稳定
462,锚定效应,起始值,比较,偏移,错觉
463,幸存者偏差,样本缺失,误导,神话,复制失败
464,叙事合理化,补全,重组,美化,相信
465,过度解释,细节堆叠,逻辑完整,事实偏移
466,因果倒置,先有结果,回填理由,成立,错位
467,框架效应,表述不同,决策不同,内容一致
468,赌徒谬误,连输,该赢了,概率独立,误判
469,情绪替代思考,舒服,合理,顺滑,忽略
470,虚假两难,非黑即白,灰度,遗漏
471,高估自己,低估变量,运气,误读
472,过度自省,归因自己,忽略环境,失衡
473,共识幻觉,沉默多数,误判趋势,强化
474,道德优越感,立场正确,忽略复杂,简单
475,信息茧房,重复,安全,单一视角,稳定
476,标签化,归类,简化,误解,方便
477,抽象层级混淆,具体问题,价值讨论,错位
478,结果导向,只看结局,忽略过程,偏差
479,风险外包,交给系统,免责,错觉
480,语言陷阱,定义不同,争论,无法对齐
